Test Lead,Initiative,Bug id,Bug Title,PDD,Severity,Node Name,Created Date,UAT category,Analysis Comments (select from drop down),Detailed PT comments
Pirtheebaa,AMS R2 screen,4442345,28 March | UAT 2 | Productivity Assessment | For default Assessment Recommended Productivity value coming as zero for AM in OCP and DCTA KDA.,3/28/2026 0:00,Medium,CreativeCoders,3/25/2026,Bug leakage,,
Jaya,AMS R2 screen,4442357,"Regression | 28th March | UAT2 | AMS OCP & DCTA | In View KDA : MMS ID, Opportunity Name, and Stage Fields Showing Blank.",3/28/2026 0:00,Medium,CodingCrusaders,3/25/2026,Both,,
Jaya,AMS R2 screen,4443905,"Regression: 28th March | UAT2 | AMS | Transition Billable is marked as Yes in the Pricing Input screen, the Transition % field is still disabled in the Giddy",3/28/2026 0:00,Medium,TechCoders,3/26/2026,Broken functionality,,
Jaya,AMS R2 screen,4446063,28 March | UAT 2 | Regression | In View KDA AD productivity and Efforts Productivity against baseline (Run Rate) getting decimal difference between UI and manual Calculation.,3/28/2026 0:00,Low,CreativeCoders,3/27/2026,Broken functionality,,
Jaya,AMS R2 screen,4446944,Mar 28|| Prod Sanity || DMS || For this Sub lever 'ALM TOOLS ADOPTION & WORKFLOW AUTOMATION' Values are not matching between UI and Manual Calculation.,3/28/2026 18:15,Low,TechCoders,3/28/2026,Bug leakage,,
Jaya,AMS Refactoring Scope,4431442,UAT__AI-Foundry ___Pricing Input : Agent is not able to configure Monthly fixed price for Group wise pricing,3/28/2026 0:00,High,agentcrafters,3/17/2026,Broken functionality,,
Jaya,AMS Refactoring Scope,4431770,UAT___AI__Foundry____Pricing input : Validation message for invalid pricing option is not same as that mentioned in user story,3/28/2026 0:00,Medium,agentcrafters,3/17/2026,Broken functionality,,
Jaya,AMS Refactoring Scope,4435075,UAT____AI Foundry_SC010 Pricing: Agent is not giving validation when trying to configure Group wide pricing with no groups configured,3/28/2026 0:00,Medium,agentcrafters,3/18/2026,Both,,
Jaya,AMS Refactoring Scope,4437661,"UAT__AI--Foundry___Other Cost : Agent is not able to add Custom Shift, Data& Telecom, People, Secure Bay, Travel, Visa Charges, Laptop and Other user defined DNP Expenses  Costs under other costs",3/28/2026 0:00,High,agentcrafters,3/20/2026,Both,,
Jaya,AMS Refactoring Scope,4439703,UAT___AI__Foundry___Agent is running through ramp up and staffing steps even though prompt is related to update of Pricing input screen in existing version,3/28/2026 0:00,High,agentcrafters,3/24/2026,Broken functionality,,
Jaya,AMS Refactoring Scope,4443901,UAT___AI__Foundry___Agent is running through ramp up and staffing steps even though prompt is related to update of Other cost screen in existing version,3/28/2026 0:00,High,agentcrafters,3/26/2026,Broken functionality,,
Jaya,AMS Refactoring Scope,4446912,Mar 28|| Prod Sanity || AI--Foundry || Pricing input : Agent is not able to add fixed price based on prompt for Transition for Group wise pricing,3/28/2026 15:28,Medium,agentcrafters,3/28/2026,Both,,
Jaya,AMS Refactoring Scope,4446956,"Mar 28|| Prod Sanity || AI--Foundry || Agent is calling ""Save Pricing Configuration"" step twice",3/28/2026 0:00,Medium,agentcrafters,3/28/2026,Broken functionality,,
Jaya,AMS Refactoring Scope,4446962,"Mar 28 | Prod Sanity | AI--Foundry | Agent is throwing validation ""Duplicate Other Cost Assumption exist in Fixed & FTE based"" even though there are no records in FTE based",3/28/2026 0:00,Medium,agentcrafters,3/28/2026,Both,,
Jaya,AMS Solution Configuration Agent,4423846,UAT__AI-Foundry___OCP is getting skipped due to Differentiation screen configuration miss from Agent,3/28/2026 0:00,High,agentcrafters,3/12/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4424251,"UAT2__AI-Foundry___Productivity Assessment details are not updated, Gen AI details are not updated in UI but prompt shows updated successfully",3/28/2026 0:00,High,agentcrafters,3/12/2026,Both,,
Jaya,AMS Solution Configuration Agent,4424652,Regression: UAT___AI-Foundry___Agent shows Productivity Assessment is configured but version is not eligible for PA,3/28/2026 0:00,High,agentcrafters,3/13/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4432616,Regression : UAT___AI__foundry___Groups import is getting failed,3/28/2026 0:00,High,agentcrafters,3/17/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4434716,"28th March | UAT2 | Regression_Generative AI | Deal is eligible for Gen AI but details are not updated in that screen, still OCP trigger is allowed",3/28/2026 0:00,Critical,CodeCrafters,3/18/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4434933,Regression : UAT___AI__Foundry__Agent is throwing error while attaching valid file in chat,3/28/2026 0:00,High,GEN AI - Solution Super Agent,3/18/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4435388,"UAT__AI-Foundry___Gen AI| YOY details are not getting updated if mentioned beyond Y4 through Agent, version is for 8 years.",3/28/2026 0:00,Medium,agentcrafters,3/18/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4436945,UAT__AI-Foundry___Gen AI| Year details are given based on deal duration still able to see warning in Agent result.,3/28/2026 0:00,Medium,agentcrafters,3/19/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4436981,Regression : UAT___AI--Foundry____Agent shows MMP generated successfully but it is still at Sent to MMP state,3/28/2026 0:00,High,agentcrafters,3/19/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4436983,Regression : UAT___AI--Foundry____MDA sync is getting initiated for MMP even though it is not mentioned in prompt,3/28/2026 0:00,High,agentcrafters,3/19/2026,Both,,
Jaya,AMS Solution Configuration Agent,4437004,UAT___AI--Foundry____Soln Std Cost : Agent is not able to add Custom infra costs for specified profiles,3/28/2026 0:00,High,agentcrafters,3/19/2026,Both,,
Jaya,AMS Solution Configuration Agent,4437007,UAT__AI-Foundry___Gen AI| Version link not getting generated if prompt added for Generative AI screen changes.,3/28/2026 0:00,Medium,agentcrafters,3/19/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4437009,UAT___AI--Foundry____Other cost : Agent is not able to add  other cost for Trans Phase for mentioned profiles,3/28/2026 0:00,High,agentcrafters,3/19/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4439981,UAT___AI-Foundry____ PMO export is not available in prompt response and also not getting navigation hyperlink for the version,3/28/2026 0:00,High,agentcrafters,3/24/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4414807,UAT____AI Foundry_SC07 Profiles : Agent is not giving validation when Load Type ≠ Rate Type for India as work Country,3/28/2026 0:00,Medium,agentcrafters,3/9/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4415313,UAT__AI-Foundry__Agent is failing at groups creation step,3/28/2026 0:00,High,agentcrafters,3/9/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4420403,UAT____AI Foundry_SC37 Groups : Agent is giving in correct validation for deletion and unmaping the profiles,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4420822,UAT____AI Foundry_The agent should not throw an error for ‘Duplicate group name is not allowed in UI’,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4420948,"UAT____AI Foundry_The Other Cost operation failed because the required parameters (costDescription, profileName, groupName) were missing in the payload for item 'default', so the execution was skipped.",3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4420975,UAT____AI Foundry_The message is incorrect when the deal is not eligible for Gen AI Embedded,3/28/2026 0:00,Medium,CodeCrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4421151,UAT___AI-Foundry__Groups: Agent is giving successful response if prompt says activate already activated groups,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Both,,
Jaya,AMS Solution Configuration Agent,4421167,UAT____AI Foundry_SC004 Offerings in Group: Agent is mapping incorrect AMS service type when explicitly called and new group is not getting created on giving the same prompt again,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4421217,UAT2____AI Foundry_Application allows invalid Service Type Ag and updates Sub Service Type incorrectly.,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4421451,UAT___AI-Foundry___Groups : Validation error while trying to deactivate default groups is different from the one mentioned in User story,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4421742,"UAT____AI Foundry_SC30 For Edit, Activation & Deactivation getting validation error for custom groups.",3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4422042,UAT___AI-Foundry___Groups : Agent is not able to Update SSG & Skill tier for mentioned custom group,3/28/2026 0:00,Medium,agentcrafters,3/11/2026,Both,,
Jaya,AMS Solution Configuration Agent,4423022,UAT___AI-Foundry__Groups: Agent is creating groups successfully for group names having special characters.,3/28/2026 0:00,Medium,agentcrafters,3/12/2026,Bug leakage,,
Jaya,AMS Solution Configuration Agent,4423026,"UAT___AI__Foundry___Groups: Agent is not able to add, update Groups and map profiles based on imported file",3/28/2026 0:00,High,agentcrafters,3/12/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4423203,UAT___AI__Foundry___Regression : Agent is retrieving other version details when prompt is given to create new version,3/28/2026 0:00,High,agentcrafters,3/12/2026,Broken functionality,,
Jaya,AMS Solution Configuration Agent,4423682,"Suggestion_UAT___AI-Foundry___Groups: For Creating more than 37 Custom groups, at least  Agent should show a note saying few groups skipped due to group limit exceeds.",3/28/2026 0:00,Medium,agentcrafters,3/12/2026,Bug leakage,,
